id	sector	employer	insider	seniority	incumbent
57	BUS	PRIV	N	TOP	N
58	BUS	QUASI	N	SEN	N
59	HLTH	PRIV	N	TOP	N
60	BUS	PRIV	N	TOP	N
61	EDU	QUASI	N	SPEC	N
62	BUS	PRIV	N	ENT	N
63	CIV	NGO	N	SEN	N
64	BUS	SELF	N	ENT	N
65	PARTY	POL	Y	TOP	N
66	PARTY	POL	Y	TOP	N
67	BUS	PRIV	N	TOP	N
68	HLTH	QUASI	N	TOP	N
69	PARTY	POL	Y	TOP	N
70	PARTY	POL	Y	SEN	N
71	BUS	PRIV	N	TOP	N
72	PARTY	POL	Y	TOP	Y
73	PARTY	POL	Y	SEN	N
74	BUS	PRIV	N	TOP	N
75	BUS	PRIV	N	SEN	N
76	BUS	PRIV	N	SEN	N
77	PARTY	POL	Y	SEN	N
78	PARTY	POL	Y	SEN	N
79	PARTY	POL	Y	TOP	N
80	EDU	QUASI	N	SEN	N
81	PARTY	POL	Y	TOP	Y
82	PARTY	POL	Y	TOP	Y
83	EDU	STATE	N	TOP	N
84	CIV	NGO	N	TOP	N
85	BUS	PRIV	N	SPEC	N
86	PARTY	POL	Y	TOP	N
87	LAW	PRIV	N	TOP	N
88	BUS	PRIV	N	TOP	N
89	BUS	PRIV	N	TOP	N
90	BUS	PRIV	N	TOP	N
91	BUS	PRIV	N	TOP	N
92	CIV	NGO	N	TOP	N
93	PARTY	POL	Y	SEN	N
94	PARTY	POL	Y	TOP	N
95	BUS	PRIV	N	SEN	N
96	BUS	PRIV	N	SEN	N
97	CIV	NGO	N	TOP	N
98	BUS	PRIV	N	SPEC	N
99	BUS	PRIV	N	TOP	N
100	BUS	PRIV	N	TOP	N
101	BUS	PRIV	N	TOP	N
102	BUS	PRIV	N	TOP	N
103	CIV	NGO	N	TOP	N
104	GOV	STATE	N	SEN	N
105	BUS	PRIV	N	TOP	N
106	LEG	STATE	N	LEG	Y
107	BUS	SELF	N	ENT	N
108	LEG	STATE	N	LEG	Y
109	GOV	STATE	N	SEN	N
110	BUS	PRIV	N	TOP	N
111	PARTY	POL	Y	SEN	N
112	PARTY	POL	Y	TOP	N
113	BUS	PRIV	N	SEN	N
114	MEDIA	PRIV	N	SEN	N
115	PARTY	POL	Y	TOP	N
116	BUS	PRIV	N	TOP	N
117	LEG	STATE	N	LEG	N
118	BUS	PRIV	N	TOP	N
119	BUS	PRIV	N	TOP	N
120	LEG	STATE	N	LEG	N
121	BUS	PRIV	N	SEN	N
122	BUS	SELF	N	ENT	N
123	BUS	PRIV	N	SEN	N
124	BUS	SELF	N	ENT	N
125	EDU	STATE	N	SPEC	N
126	BUS	PRIV	N	TOP	N
127	LEG	STATE	N	LEG	N
128	PARTY	POL	Y	TOP	N
129	PARTY	POL	Y	TOP	N
130	PARTY	POL	Y	SEN	N
131	BUS	PRIV	N	TOP	N
132	PARTY	POL	Y	SPEC	N
133	PARTY	POL	Y	TOP	N
134	PARTY	POL	Y	TOP	N
135	BUS	PRIV	N	TOP	N
136	PARTY	POL	Y	TOP	N
137	MEDIA	PRIV	N	SPEC	N
138	BUS	PRIV	N	TOP	N
139	BUS	PRIV	N	TOP	N
140	GOV	STATE	N	SEN	N
141	EDU	STATE	N	SEN	N
142	PARTY	POL	Y	TOP	N
143	PARTY	POL	Y	TOP	N
144	EDU	STATE	N	SEN	N
145	PARTY	POL	Y	TOP	N
146	CIV	NGO	N	TOP	N
147	PARTY	POL	Y	TOP	N
148	CIV	NGO	N	TOP	N
149	BUS	PRIV	N	TOP	N
150	PARTY	POL	Y	SEN	N
151	BUS	PRIV	N	TOP	N
152	AGRI	PRIV	N	ENT	N
153	BUS	PRIV	N	SEN	N
154	EDU	QUASI	N	SEN	N
155	PARTY	POL	Y	TOP	N
156	PARTY	POL	Y	TOP	N
157	BUS	PRIV	N	TOP	N
158	BUS	SELF	N	ENT	N
159	EDU	STATE	N	SEN	N
160	GOV	STATE	N	SEN	N
161	EDU	PRIV	N	TOP	N
162	GOV	STATE	N	SEN	N
163	PARTY	POL	Y	TOP	N
164	PARTY	POL	Y	TOP	N
165	AGRI	PRIV	N	TOP	N
166	EDU	STATE	N	SEN	N
167	LEG	STATE	N	LEG	N
168	PARTY	POL	Y	TOP	N
169	PARTY	POL	Y	TOP	N
170	BUS	PRIV	N	TOP	N
171	GOV	STATE	N	SEN	N
172	EDU	STATE	N	SPEC	N
173	BUS	PRIV	N	SPEC	N
174	PARTY	POL	Y	TOP	N
175	GOV	QUASI	N	SEN	N
176	LEG	STATE	N	LEG	N
177	PARTY	POL	Y	TOP	N
178	LEG	STATE	N	LEG	N
179	PARTY	POL	Y	SEN	N
180	BUS	PRIV	N	TOP	N
181	BUS	PRIV	N	TOP	N
182	PARTY	POL	Y	SEN	N
183	LEG	STATE	N	LEG	N
184	AGRI	STATE	N	TOP	N
185	EDU	STATE	N	SPEC	N
186	EDU	PRIV	N	TOP	N
187	GOV	STATE	N	SEN	N
188	PARTY	POL	Y	SEN	N
189	CIV	NGO	N	TOP	N
190	EDU	STATE	N	SEN	N
191	BUS	PRIV	N	SEN	N
192	EDU	STATE	N	SPEC	N
193	AGRI	PRIV	N	SPEC	N
194	EDU	QUASI	N	TOP	N
195	GOV	STATE	N	SEN	N
196	BUS	SELF	N	ENT	N
197	CIV	NGO	N	TOP	N
198	EDU	PRIV	N	TOP	N
199	PARTY	POL	Y	TOP	N
200	LAW	SELF	N	SPEC	N
201	PARTY	POL	Y	SPEC	N
202	BUS	PRIV	N	TOP	N
203	HLTH	PRIV	N	TOP	N
204	BUS	PRIV	N	TOP	N
205	BUS	PRIV	N	TOP	N
206	PARTY	POL	Y	TOP	N
207	BUS	PRIV	N	SEN	N
208	BUS	SELF	N	ENT	N
209	PARTY	POL	Y	SEN	N
210	BUS	PRIV	N	TOP	N
211	BUS	QUASI	N	SEN	N
212	PARTY	POL	Y	TOP	N
213	LAW	NGO	N	TOP	N
214	BUS	PRIV	N	TOP	N
215	LEG	STATE	N	LEG	N
216	GOV	STATE	N	SEN	N
217	BUS	PRIV	N	SPEC	N
218	BUS	QUASI	N	TOP	N
219	PARTY	POL	Y	SEN	N
220	BUS	PRIV	N	SEN	N
221	BUS	PRIV	N	TOP	N
222	EDU	QUASI	N	SEN	N
223	BUS	PRIV	N	SPEC	N
224	BUS	SELF	N	ENT	N
225	BUS	SELF	N	ENT	N
226	PARTY	POL	Y	TOP	N
227	BUS	SELF	N	ENT	N
228	BUS	PRIV	N	SEN	N
229	EDU	STATE	N	SPEC	N
230	BUS	PRIV	N	TOP	N
231	BUS	SELF	N	ENT	N
232	BUS	PRIV	N	TOP	N
233	GOV	STATE	N	SEN	N
234	BUS	PRIV	N	TOP	N
235	HLTH	PRIV	N	SPEC	N
236	EDU	STATE	N	SEN	N
237	BUS	PRIV	N	TOP	N
238	BUS	PRIV	N	SEN	N
239	BUS	PRIV	N	TOP	N
240	PARTY	POL	Y	SEN	N
241	BUS	PRIV	N	SEN	N
242	BUS	PRIV	N	TOP	N
243	BUS	PRIV	N	SPEC	N
244	CIV	NGO	N	SEN	N
245	PARTY	POL	Y	TOP	N
246	PARTY	POL	Y	TOP	N
247	EDU	STATE	N	TOP	N
248	CULT	STATE	N	SPEC	N
249	BUS	PRIV	N	TOP	N
250	CIV	NGO	N	TOP	N
251	PARTY	POL	Y	SPEC	N
252	BUS	SELF	N	ENT	N
253	EDU	STATE	N	SPEC	N
254	PARTY	POL	Y	TOP	N
255	BUS	PRIV	N	TOP	N
256	CULT	STATE	N	SPEC	N
257	GOV	STATE	N	SEN	N
258	EDU	PRIV	N	SPEC	N
259	PARTY	POL	Y	SPEC	N
260	GOV	STATE	N	SEN	N
261	CIV	QUASI	N	SEN	N
262	BUS	SELF	N	SPEC	N
263	PARTY	POL	Y	SPEC	N
264	BUS	PRIV	N	TOP	N
265	EDU	STATE	N	SPEC	N
266	BUS	PRIV	N	SEN	N
267	PARTY	POL	Y	TOP	N
268	PARTY	POL	Y	TOP	N
269	GOV	STATE	N	SEN	N
270	PARTY	POL	Y	TOP	N
271	CULT	STATE	N	SPEC	N
272	EDU	PRIV	N	TOP	N
273	PARTY	POL	Y	TOP	N
274	CIV	NGO	N	TOP	N
275	PARTY	POL	Y	TOP	N
276	EDU	QUASI	N	TOP	N
277	BUS	PRIV	N	TOP	N
278	PARTY	POL	Y	TOP	N
279	LAW	NGO	N	SEN	N
280	LAW	PRIV	N	TOP	N
281	PARTY	POL	Y	TOP	N
282	BUS	PRIV	N	TOP	N
283	PARTY	POL	Y	TOP	N
284	GOV	STATE	N	SEN	N
285	CIV	NGO	N	SPEC	N
286	PARTY	POL	Y	TOP	N
287	PARTY	POL	Y	TOP	N
288	BUS	PRIV	N	TOP	N
289	CIV	QUASI	N	SEN	N
290	BUS	PRIV	N	SEN	N
291	CULT	SELF	N	SPEC	N
292	LEG	STATE	N	LEG	Y
293	EDU	PRIV	N	TOP	N
294	PARTY	POL	Y	SEN	N
295	BUS	PRIV	N	TOP	N
296	BUS	PRIV	N	SEN	N
297	BUS	PRIV	N	TOP	N
298	LAW	SELF	N	SPEC	N
299	GOV	STATE	N	SPEC	N
300	LEG	STATE	N	LEG	Y
301	CIV	NGO	N	TOP	N
302	LEG	STATE	N	LEG	Y
303	GOV	STATE	N	SEN	N
304	LEG	STATE	N	LEG	Y
305	PARTY	POL	Y	SPEC	N
306	PARTY	POL	Y	TOP	N
307	EDU	STATE	N	SPEC	N
308	PARTY	POL	Y	TOP	N
309	BUS	PRIV	N	TOP	N
310	PARTY	POL	Y	TOP	N
311	GOV	STATE	N	SEN	N
312	PARTY	POL	Y	TOP	N
313	GOV	STATE	N	SEN	N
314	PARTY	POL	Y	TOP	N
315	PARTY	POL	Y	SEN	N
316	PARTY	POL	Y	SPEC	N
317	PARTY	POL	Y	TOP	N
318	PARTY	POL	Y	SEN	N
319	PARTY	POL	Y	SEN	N
320	PARTY	POL	Y	SPEC	N
321	CIV	NGO	N	TOP	N
322	PARTY	POL	Y	TOP	N
323	PARTY	POL	Y	TOP	N
324	PARTY	POL	Y	TOP	N
325	PARTY	POL	Y	TOP	N
326	PARTY	POL	Y	SEN	N
327	PARTY	POL	Y	TOP	N
328	PARTY	POL	Y	TOP	N
329	PARTY	POL	Y	TOP	N
330	PARTY	POL	Y	SPEC	N
331	LAW	SELF	N	SPEC	N
332	PARTY	POL	Y	SEN	N
333	PARTY	POL	Y	TOP	N
334	PARTY	POL	Y	TOP	N
335	PARTY	POL	Y	TOP	N
336	PARTY	POL	Y	TOP	N
337	PARTY	POL	Y	TOP	N
338	PARTY	POL	Y	TOP	Y
339	PARTY	POL	Y	SEN	Y
340	PARTY	POL	Y	SEN	Y
341	PARTY	POL	Y	TOP	N
342	PARTY	POL	Y	TOP	N
343	PARTY	POL	Y	SPEC	N
344	BUS	PRIV	N	TOP	N
345	CIV	NGO	N	TOP	N
346	GOV	STATE	N	SEN	N
347	CIV	NGO	N	TOP	N
348	LEG	STATE	N	LEG	N
349	LEG	STATE	N	LEG	Y
350	GOV	STATE	N	SEN	N
351	CIV	NGO	N	SEN	N
352	GOV	STATE	N	SEN	N
353	LEG	STATE	N	LEG	N
354	CIV	NGO	N	TOP	N
355	CIV	NGO	N	TOP	N
356	BUS	QUASI	N	SEN	N
357	GOV	STATE	N	TOP	N
358	GOV	STATE	N	TOP	N
359	HLTH	PRIV	N	TOP	N
360	LEG	STATE	N	LEG	Y
361	EDU	QUASI	N	TOP	N
362	MEDIA	STATE	N	SPEC	N
363	CIV	NGO	N	SPEC	N
364	CIV	NGO	N	TOP	N
365	EDU	PRIV	N	SEN	N
366	LEG	STATE	N	LEG	N
367	CIV	NGO	N	TOP	N
368	GOV	STATE	N	TOP	N
369	BUS	PRIV	N	TOP	N
370	MEDIA	STATE	N	SEN	N
371	GOV	STATE	N	SEN	N
372	BUS	QUASI	N	TOP	N
373	EDU	STATE	N	TOP	N
374	GOV	STATE	N	TOP	N
375	GOV	STATE	N	TOP	N
376	HLTH	PRIV	N	TOP	N
377	BUS	QUASI	N	TOP	N
378	LEG	STATE	N	LEG	Y
379	GOV	QUASI	N	TOP	N
380	GOV	STATE	N	TOP	N
381	PARTY	POL	Y	TOP	N
382	CIV	NGO	N	TOP	N
383	BUS	PRIV	N	TOP	N
384	GOV	STATE	N	TOP	N
385	EDU	STATE	N	SPEC	N
386	BUS	QUASI	N	SEN	N
387	PARTY	POL	Y	SEN	N
388	HLTH	STATE	N	TOP	N
389	CIV	PRIV	N	TOP	N
390	EDU	STATE	N	SEN	N
391	PARTY	POL	Y	TOP	N
392	BUS	PRIV	N	TOP	N
393	CIV	NGO	N	TOP	N
394	HLTH	STATE	N	TOP	N
395	CIV	NGO	N	TOP	N
396	EDU	STATE	N	TOP	N
397	BUS	PRIV	N	TOP	N
398	GOV	STATE	N	TOP	N
399	BUS	PRIV	N	TOP	N
400	BUS	PRIV	N	TOP	N
401	GOV	STATE	N	SEN	N
402	GOV	STATE	N	SPEC	N
403	BUS	QUASI	N	SEN	N
404	GOV	STATE	N	SEN	N
405	GOV	STATE	N	TOP	N
406	SPORT	STATE	N	SPEC	N
407	GOV	STATE	N	TOP	N
408	BUS	PRIV	N	TOP	N
409	PARTY	POL	Y	SPEC	N
410	GOV	STATE	N	TOP	N
411	CIV	NGO	N	TOP	N
412	AGRI	PRIV	N	TOP	N
413	BUS	PRIV	N	TOP	N
414	CIV	NGO	N	TOP	N
415	MEDIA	STATE	N	TOP	N
416	PARTY	POL	Y	SEN	N
417	EDU	STATE	N	SEN	N
418	LEG	STATE	N	LEG	N
419	EDU	QUASI	N	TOP	N
420	CIV	NGO	N	TOP	N
421	GOV	STATE	N	TOP	N
422	PARTY	POL	Y	SPEC	N
423	PARTY	POL	Y	SPEC	N
424	OTH	UNCL	N	UNCL	N
425	CIV	NGO	N	TOP	N
426	BUS	PRIV	N	TOP	N
427	EDU	STATE	N	TOP	N
428	CIV	NGO	N	TOP	N
429	BUS	PRIV	N	SEN	N
430	GOV	STATE	N	SEN	N
431	BUS	PRIV	N	TOP	N
432	BUS	PRIV	N	TOP	N
433	MEDIA	STATE	N	TOP	N
434	PARTY	POL	Y	SEN	N
435	CIV	NGO	N	TOP	N
436	BUS	PRIV	N	TOP	N
437	BUS	PRIV	N	TOP	N
438	MEDIA	STATE	N	SPEC	N
439	EDU	PRIV	N	SPEC	N
440	PARTY	POL	Y	SEN	N
441	BUS	QUASI	N	TOP	N
442	BUS	PRIV	N	TOP	N
443	BUS	PRIV	N	TOP	N
444	GOV	STATE	N	TOP	N
445	GOV	STATE	N	SEN	N
446	CIV	QUASI	N	TOP	N
447	LAW	NGO	N	TOP	N
448	BUS	PRIV	N	TOP	N
449	LEG	STATE	N	LEG	N
450	EDU	QUASI	N	TOP	N
451	BUS	PRIV	N	TOP	N
452	GOV	STATE	N	TOP	N
453	BUS	PRIV	N	TOP	N
454	CIV	NGO	N	TOP	N
455	GOV	STATE	N	TOP	N
456	GOV	STATE	N	SPEC	N
457	EDU	STATE	N	TOP	N
458	BUS	SELF	N	ENT	N
459	PARTY	POL	Y	SEN	N
460	CIV	NGO	N	TOP	N
461	EDU	PRIV	N	TOP	N
462	GOV	STATE	N	TOP	N
463	LEG	STATE	N	LEG	N
464	SPORT	NGO	N	TOP	N
465	EDU	PRIV	N	TOP	N
466	PARTY	POL	Y	SEN	N
467	BUS	QUASI	N	TOP	N
468	GOV	STATE	N	SPEC	N
469	BUS	QUASI	N	SEN	N
470	HLTH	STATE	N	TOP	N
471	BUS	QUASI	N	SEN	N
472	BUS	PRIV	N	SEN	N
473	BUS	SELF	N	ENT	N
474	CIV	NGO	N	TOP	N
475	CULT	STATE	N	TOP	N
476	CIV	NGO	N	TOP	N
477	CIV	NGO	N	TOP	N
478	BUS	PRIV	N	SPEC	N
479	GOV	STATE	N	TOP	N
480	CIV	NGO	N	TOP	N
481	MEDIA	PRIV	N	TOP	N
482	CIV	NGO	N	TOP	N
483	GOV	STATE	N	TOP	N
484	MEDIA	PRIV	N	TOP	N
485	EDU	PRIV	N	TOP	N
486	MEDIA	STATE	N	SPEC	N
487	GOV	STATE	N	TOP	N
488	LEG	STATE	N	LEG	N
489	BUS	PRIV	N	TOP	N
490	LEG	STATE	N	LEG	N
491	MEDIA	STATE	N	SPEC	N
492	MEDIA	QUASI	N	TOP	N
493	PARTY	POL	Y	TOP	N
494	BUS	PRIV	N	SPEC	N
495	PARTY	POL	Y	TOP	N
496	PARTY	POL	Y	SEN	N
497	GOV	STATE	N	TOP	N
498	GOV	STATE	N	SEN	N
499	EDU	STATE	N	TOP	N
500	BUS	PRIV	N	TOP	N
501	LEG	STATE	N	LEG	N
502	LEG	STATE	N	LEG	N
503	SPORT	NGO	N	SEN	N
504	CIV	NGO	N	TOP	N
505	BUS	PRIV	N	TOP	N
506	LEG	STATE	N	LEG	N
507	GOV	STATE	N	TOP	N
508	CIV	NGO	N	SEN	N
509	BUS	PRIV	N	SEN	N
510	AGRI	PRIV	N	TOP	N
