id	position_raw	position_kk	position_ru	status	source_url	review_notes
11	заместитель председателя Комитета государственных доходов Министерства финансов РК	ҚР Қаржы министрлігі Мемлекеттік кірістер комитеті төрағасының орынбасары	заместитель председателя Комитета государственных доходов Министерства финансов РК	APPROVED		
12	ИП «Байконова», руководитель	«Байконова» ЖК басшысы	ИП «Байконова», руководитель	APPROVED		
13	заведующий сектором государственно-правового отдела Администрации Президента Республики Казахстан	Қазақстан Республикасы Президенті Әкімшілігінің мемлекеттік-құқықтық бөлімінің сектор меңгерушісі	заведующий сектором государственно-правового отдела Администрации Президента Республики Казахстан	APPROVED		
14	специалист Мангистауского областного филиала партии «Respublica»	Respublica партиясы Маңғыстау облыстық филиалының маманы	специалист Мангистауского областного филиала партии «Respublica»	APPROVED		
15	советник Руководителя Центрального аппарата партии «Respublica»	Respublica партиясы Орталық аппараты басшысының кеңесшісі	советник Руководителя Центрального аппарата партии «Respublica»	APPROVED		
16	аким сельского округа имени Магжан Жумабаева, Северо-Казахстанской области	Солтүстік Қазақстан облысы Мағжан Жұмабаев атындағы ауылдық округінің әкімі	аким сельского округа имени Магжан Жумабаева, Северо-Казахстанской области	APPROVED		
17	ИП «Royal Event», директор ТОО «Shanyraq Partners»	«Royal Event» ЖК, «Shanyraq Partners» ЖШС директоры	ИП «Royal Event», директор ТОО «Shanyraq Partners»	APPROVED		
18	генеральный директор «Smartest Prep LTD»	«Smartest Prep LTD» бас директоры	генеральный директор «Smartest Prep LTD»	APPROVED		
19	Центр спортивной подготовки для лиц с ограниченными физическими возможностями, параспортсмен	Мүмкіндігі шектеулі адамдарға арналған спорттық даярлық орталығының параспортшысы	Центр спортивной подготовки для лиц с ограниченными физическими возможностями, параспортсмен	APPROVED		
20	директор ТОО «Venera Print»	«Venera Print» ЖШС директоры	директор ТОО «Venera Print»	APPROVED		
21	генеральный директор ТОО «Б-Агро-Север»	«Б-Агро-Север» ЖШС бас директоры	генеральный директор ТОО «Б-Агро-Север»	APPROVED		
22	директор по стратегии и науке АО «Национальный центр нейрохирургии»	«Ұлттық нейрохирургия орталығы» АҚ стратегия және ғылым жөніндегі директоры	директор по стратегии и науке АО «Национальный центр нейрохирургии»	APPROVED		
23	председатель Алматинского областного филиала партии «Respublica»	Respublica партиясының Алматы облыстық филиалының төрағасы	председатель Алматинского областного филиала партии «Respublica»	APPROVED		
24	ИП «Malika Duisenbayeva»	«Malika Duisenbayeva» ЖК	ИП «Malika Duisenbayeva»	APPROVED		
25	вице-президент Федерации борьбы РК	ҚР Күрес федерациясының вице-президенті	вице-президент Федерации борьбы РК	APPROVED		
26	учредитель и директор группы компаний «Sign Tech»	«Sign Tech» компаниялар тобының құрылтайшысы және директоры	учредитель и директор группы компаний «Sign Tech»	APPROVED		
27	главный менеджер-аналитик Фракции партии «Respublica»	Respublica партиясы фракциясының бас менеджер-талдаушысы	главный менеджер-аналитик Фракции партии «Respublica»	APPROVED		
28	директор колледжа «Отырар»	«Отырар» колледжінің директоры	директор колледжа «Отырар»	APPROVED		
29	заместитель директора ТОО «Global Foods»	«Global Foods» ЖШС директорының орынбасары	заместитель директора ТОО «Global Foods»	APPROVED		
30	председатель правления АО «УлыТау Холдинг»	«Ұлытау Холдинг» АҚ басқарма төрағасы	председатель правления АО «УлыТау Холдинг»	APPROVED		
31	руководитель Центрального аппарата партии «Respublica»	Respublica партиясы Орталық аппаратының басшысы	руководитель Центрального аппарата партии «Respublica»	APPROVED		
32	директор ТОО «Espresso Day»	«Espresso Day» ЖШС директоры	директор ТОО «Espresso Day»	APPROVED		
33	управляющий партнер ТОО «Finex-Audit»	«Finex-Audit» ЖШС басқарушы серіктесі	управляющий партнер ТОО «Finex-Audit»	APPROVED		
34	генеральный директор ТОО «Atelier Arunaz», ИП «Ателье Аруназ Дизайн»	«Atelier Arunaz» ЖШС бас директоры, «Ателье Аруназ Дизайн» ЖК	генеральный директор ТОО «Atelier Arunaz», ИП «Ателье Аруназ Дизайн»	APPROVED		
35	председатель наблюдательного совета ТОО «Capital Road Construction»	«Capital Road Construction» ЖШС байқаушы кеңесінің төрағасы	председатель наблюдательного совета ТОО «Capital Road Construction»	APPROVED		
36	председатель Жамбылского областного филиала партии «Respublica»	Respublica партиясының Жамбыл облыстық филиалының төрағасы	председатель Жамбылского областного филиала партии «Respublica»	APPROVED		
37	директор центра кино и искусства «BN Prodaction»	«BN Prodaction» кино және өнер орталығының директоры	директор центра кино и искусства «BN Prodaction»	APPROVED		
38	генеральный директор - член наблюдательного совета «Dala Edge Creative Park»	«Dala Edge Creative Park» бас директоры — байқаушы кеңесінің мүшесі	генеральный директор - член наблюдательного совета «Dala Edge Creative Park»	APPROVED		
39	ИП «Алия Конилхан», руоводитель	«Алия Конилхан» ЖК басшысы	ИП «Алия Конилхан», руоводитель	APPROVED		
40	ТОО «B2C», директор	«B2C» ЖШС директоры	ТОО «B2C», директор	APPROVED		
41	депутат Мажилиса Парламента VIII созыва	VIII сайланған Парламент Мәжілісінің депутаты	депутат Мажилиса Парламента VIII созыва	APPROVED		
42	президент ТОО «Балмуздак»	«Балмұздақ» ЖШС президенті	президент ТОО «Балмуздак»	APPROVED		
43	председатель Западно-Казахстанского областного филиала партии «Respublica»	Respublica партиясының Батыс Қазақстан облыстық филиалының төрағасы	председатель Западно-Казахстанского областного филиала партии «Respublica»	APPROVED		
44	ИП «Марклен», руководитель	«Марклен» ЖК басшысы	ИП «Марклен», руководитель	APPROVED		
45	ТОО «Телевидение Астана», продюсер	«Астана телевидениесі» ЖШС продюсері	ТОО «Телевидение Астана», продюсер	APPROVED		
46	GR директор, АО «Костанайские минералы»	GR директоры, «Қостанай минералдары» АҚ	GR директор, АО «Костанайские минералы»	APPROVED		
47	секретарь Высшего Судебного Совета РК - руководитель аппарата	ҚР Жоғары Сот Кеңесінің хатшысы — аппарат басшысы	секретарь Высшего Судебного Совета РК - руководитель аппарата	APPROVED		
48	советник директора Телерадиокомплекса Президента РК	ҚР Президенті Телерадиокешені директорының кеңесшісі	советник директора Телерадиокомплекса Президента РК	APPROVED		
49	Индивидуальный предприниматель	Жеке кәсіпкер	Индивидуальный предприниматель	APPROVED		
50	заместитель Генерального директора АО «КазАзот» по корпоративному и устойчивому развитию	«ҚазАзот» АҚ бас директорының корпоративтік және тұрақты даму жөніндегі орынбасары	заместитель Генерального директора АО «КазАзот» по корпоративному и устойчивому развитию	APPROVED		
51	генеральный директор группы компаний ТОО «NQDC GROUP»	«NQDC GROUP» ЖШС компаниялар тобының бас директоры	генеральный директор группы компаний ТОО «NQDC GROUP»	APPROVED		
52	Центр спортивной подготовки для лиц с ограниченными физическими возможностями, инструктор-спортсмен	Мүмкіндігі шектеулі адамдарға арналған спорттық даярлық орталығының нұсқаушы-спортшысы	Центр спортивной подготовки для лиц с ограниченными физическими возможностями, инструктор-спортсмен	APPROVED		
53	депутат Мажилиса Парламента РК VIII созыва	ҚР Парламенті Мәжілісінің VIII сайланған депутаты	депутат Мажилиса Парламента РК VIII созыва	APPROVED		
54	директор школы-гимназии № 58	№ 58 мектеп-гимназиясының директоры	директор школы-гимназии № 58	APPROVED		
55	директор ТОО «Art school 2020»	«Art school 2020» ЖШС директоры	директор ТОО «Art school 2020»	APPROVED		
56	директор департамента экономики и планирования АО «НК «Казахстан инжиниринг»	«Қазақстан инжиниринг» ҰК» АҚ экономика және жоспарлау департаментінің директоры	директор департамента экономики и планирования АО «НК «Казахстан инжиниринг»	APPROVED		
57	руководитель ТОО «Алматы Лакшери Трэвел»	«Алматы Лакшери Трэвел» ЖШС басшысы	руководитель ТОО «Алматы Лакшери Трэвел»	APPROVED		
58	независимый директор АО «KEGOC», генеральный директор АО «НацЭКС»	«KEGOC» АҚ тәуелсіз директоры, «НацЭКС» АҚ бас директоры	независимый директор АО «KEGOC», генеральный директор АО «НацЭКС»	APPROVED		
59	генеральный директор ТОО «КДЛ «Олимп»	«Олимп» КДЗ ЖШС бас директоры	генеральный директор ТОО «КДЛ «Олимп»	APPROVED		
60	учредительный директор ТОО «КАС Консалтинг софт», Президент Казахстанской ассоциации информационных технологий и инноваций»	«ҚАС Консалтинг софт» ЖШС құрылтайшы директоры, Қазақстан ақпараттық технологиялар және инновациялар қауымдастығының президенті	учредительный директор ТОО «КАС Консалтинг софт», Президент Казахстанской ассоциации информационных технологий и инноваций»	APPROVED		
61	профессор Nazarbayev University, академик НАН	Nazarbayev University профессоры, ҰҒА академигі	профессор Nazarbayev University, академик НАН	APPROVED		
62	учредитель ТОО «Энерджи Тараз»	«Энерджи Тараз» ЖШС құрылтайшысы	учредитель ТОО «Энерджи Тараз»	APPROVED		
63	заместитель председателя Ассоциации по развитию искусственного интеллекта в Казахстане	Қазақстанда жасанды интеллектті дамыту қауымдастығы төрағасының орынбасары	заместитель председателя Ассоциации по развитию искусственного интеллекта в Казахстане	APPROVED		
64	руководитель ИП «Евротекстиль»	«Евротекстиль» ЖК басшысы	руководитель ИП «Евротекстиль»	APPROVED		
65	председатель Атырауского областного филиала партии «Respublica»	Respublica партиясының Атырау облыстық филиалының төрағасы	председатель Атырауского областного филиала партии «Respublica»	APPROVED		
66	председатель Мангистауского областного филиала партии «Respublica»	Respublica партиясының Маңғыстау облыстық филиалының төрағасы	председатель Мангистауского областного филиала партии «Respublica»	APPROVED		
67	генеральный директор ТОО «Special oil Projets»	«Special oil Projets» ЖШС бас директоры	генеральный директор ТОО «Special oil Projets»	APPROVED		
68	председатель правления НАО «Turar Healthcare»	«Turar Healthcare» КЕАҚ басқарма төрағасы	председатель правления НАО «Turar Healthcare»	APPROVED		
69	председатель Карагандинского областного филиала ДПК «Ак жол»	«Ақ жол» Қазақстан демократиялық партиясы Қарағанды облыстық филиалының төрағасы	председатель Карагандинского областного филиала ДПК «Ак жол»	APPROVED		
70	Руководитель службы поддержки молодежного предпринимательства ДПК «Ак жол»	«Ақ жол» Қазақстан демократиялық партиясы жастар кәсіпкерлігін қолдау қызметінің басшысы	Руководитель службы поддержки молодежного предпринимательства ДПК «Ак жол»	APPROVED		
71	директор ТОО «Даниял құрылыс дизайн»	«Даниял құрылыс дизайн» ЖШС директоры	директор ТОО «Даниял құрылыс дизайн»	APPROVED		
72	заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	«Ақ жол» Қазақстан демократиялық партиясы төрағасының орынбасары, ҚР Парламенті Мәжілісінің VII, VIII сайланған депутаты	заместитель Председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	APPROVED		
73	заместитель председателя Алматинского городского филиала ДПК «Ак жол»	«Ақ жол» Қазақстан демократиялық партиясы Алматы қалалық филиалы төрағасының орынбасары	заместитель председателя Алматинского городского филиала ДПК «Ак жол»	APPROVED		
74	президент АО «KazPetroDrilling»	«KazPetroDrilling» АҚ президенті	президент АО «KazPetroDrilling»	APPROVED		
75	директор филиала ТОО «Texol Транс»	«Texol Транс» ЖШС филиалының директоры	директор филиала ТОО «Texol Транс»	APPROVED		
76	директор Атырауского филиала ТОО «КМG EP-Catering»	«КМG EP-Catering» ЖШС Атырау филиалының директоры	директор Атырауского филиала ТОО «КМG EP-Catering»	APPROVED		
77	секретарь Политического совета ДПК «Ак жол»	«Ақ жол» Қазақстан демократиялық партиясы Саяси кеңесінің хатшысы	секретарь Политического совета ДПК «Ак жол»	APPROVED		
78	депутат Мажилиса Парламента РК VII созыва, секретарь Политического совета ДПК «Ақ жол»	ҚР Парламенті Мәжілісінің VII сайланған депутаты, «Ақ жол» Қазақстан демократиялық партиясы Саяси кеңесінің хатшысы	депутат Мажилиса Парламента РК VII созыва, секретарь Политического совета ДПК «Ақ жол»	APPROVED		
79	председатель филиала ДПК «Ак жол» области Жетісу, председатель постоянной комиссии областного маслихата области Жетісу, область Жетісу	Жетісу облысындағы «Ақ жол» Қазақстан демократиялық партиясы филиалының төрағасы, Жетісу облыстық мәслихаты әлеуметтік мәселелер жөніндегі тұрақты комиссиясының төрағасы, Жетісу облысы	председатель филиала ДПК «Ак жол» области Жетісу, председатель постоянной комиссии областного маслихата области Жетісу, область Жетісу	APPROVED		
80	декан школы педиатрии НАО «Карагандинский Медицинский университет»	«Қарағанды медицина университеті» КЕАҚ педиатрия мектебінің деканы	декан школы педиатрии НАО «Карагандинский Медицинский университет»	APPROVED		
81	заместитель председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	«Ақ жол» Қазақстан демократиялық партиясы төрағасының орынбасары, ҚР Парламенті Мәжілісінің VII, VIII сайланған депутаты	заместитель председателя ДПК «Ак жол», депутат Мажилиса Парламента РК VII, VIII созыва	APPROVED		
82	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва	«Ақ жол» Қазақстан демократиялық партиясының төрағасы, ҚР Парламенті Мәжілісінің VII, VIII сайланған депутаты	председатель ДПК «Ақ жол», депутат Мажилиса Парламента РК VII, VIII созыва	APPROVED		
83	директор КГУ «Средняя школа комплекс национального возрождения № 17» города Петропавловска	Петропавл қаласындағы № 17 Ұлттық жаңғыру кешенді орта мектебі КММ директоры	директор КГУ «Средняя школа комплекс национального возрождения № 17» города Петропавловска	APPROVED		
84	исполнительный директор «Ассоциации ECOJER»	«ECOJER» қауымдастығының атқарушы директоры	исполнительный директор «Ассоциации ECOJER»	APPROVED		
85	инженер ТОО «Connectivity Solutions»	«Connectivity Solutions» ЖШС инженері	инженер ТОО «Connectivity Solutions»	APPROVED		
86	председатель Костанайского областного филиала ДПК «Ак жол», председатель постоянной комиссии по вопросам социальной сферы Костанайского областного маслихата	«Ақ жол» Қазақстан демократиялық партиясы Қостанай облыстық филиалының төрағасы, Қостанай облыстық мәслихаты әлеуметтік мәселелер жөніндегі тұрақты комиссиясының төрағасы	председатель Костанайского областного филиала ДПК «Ак жол», председатель постоянной комиссии по вопросам социальной сферы Костанайского областного маслихата	APPROVED		
87	управляющий партнер ТОО «First Legal Consulting group»	«First Legal Consulting group» ЖШС басқарушы серіктесі	управляющий партнер ТОО «First Legal Consulting group»	APPROVED		
88	Генеральный директор ТОО «Samadi A Group»	«Samadi A Group» ЖШС бас директоры	Генеральный директор ТОО «Samadi A Group»	APPROVED		
89	управляющий директор ТОО «Казахстанский завод магнезитовых изделий»	«Қазақстан магнезит бұйымдары зауыты» ЖШС басқарушы директоры	управляющий директор ТОО «Казахстанский завод магнезитовых изделий»	APPROVED		
90	председатель наблюдательного Совета ТОО «Best Product Pavlodar»	«Best Product Pavlodar» ЖШС байқаушы кеңесінің төрағасы	председатель наблюдательного Совета ТОО «Best Product Pavlodar»	APPROVED		
91	директор ТОО «Discovery Coffee Semey», депутат городского маслихата г. Семей	«Discovery Coffee Semey» ЖШС директоры, Семей қалалық мәслихатының депутаты	директор ТОО «Discovery Coffee Semey», депутат городского маслихата г. Семей	APPROVED		
92	директор ОЮЛ «ИП «КАПиСУ»; заместитель председателя по правовым вопросам Карагандинского областного филиала ДПК «Ак жол»	«КАПиСУ» ЖК ЗТБ директоры; «Ақ жол» Қазақстан демократиялық партиясы Қарағанды облыстық филиалы төрағасының құқықтық мәселелер жөніндегі орынбасары	директор ОЮЛ «ИП «КАПиСУ»; заместитель председателя по правовым вопросам Карагандинского областного филиала ДПК «Ак жол»	APPROVED		
93	председатель партийной комиссии ДПК «Ак жол»	«Ақ жол» Қазақстан демократиялық партиясы партиялық комиссиясының төрағасы	председатель партийной комиссии ДПК «Ак жол»	APPROVED		
94	секретарь Полититического совета, руководитель аппарата ДПК «Ак жол»	«Ақ жол» Қазақстан демократиялық партиясы Саяси кеңесінің хатшысы, аппарат басшысы	секретарь Полититического совета, руководитель аппарата ДПК «Ак жол»	APPROVED		
95	заместитель директора ТОО «Astana Energo Hub»	«Astana Energo Hub» ЖШС директорының орынбасары	заместитель директора ТОО «Astana Energo Hub»	APPROVED		
96	директор филиала ТОО «KMG Security» в городе Жанаозен	«KMG Security» ЖШС Жаңаөзен қаласындағы филиалының директоры	директор филиала ТОО «KMG Security» в городе Жанаозен	APPROVED		
97	Генеральный директор ОФ «Финансовая культура Казахстана»	«Қазақстанның қаржы мәдениеті» ҚҚ бас директоры	Генеральный директор ОФ «Финансовая культура Казахстана»	APPROVED		
98	советник ТОО «Aspara Munay»	«Aspara Munay» ЖШС кеңесшісі	советник ТОО «Aspara Munay»	APPROVED		
99	Генеральный директор ТОО «Billboards Empire», директор ТОО «Terra Invest Group», директор ТОО «Энерго Трэйдинг Групп»	«Billboards Empire» ЖШС бас директоры, «Terra Invest Group» ЖШС директоры, «Энерго Трэйдинг Групп» ЖШС директоры	Генеральный директор ТОО «Billboards Empire», директор ТОО «Terra Invest Group», директор ТОО «Энерго Трэйдинг Групп»	APPROVED		
100	Генеральный директор ТОО «Смарт-энергетика»	«Смарт-энергетика» ЖШС бас директоры	Генеральный директор ТОО «Смарт-энергетика»	APPROVED		
101	Генеральный директор ТОО «ENCOS Group»	ENCOS Group ЖШС бас директоры	Генеральный директор ТОО «ENCOS Group»	APPROVED	machine:google-translate	Approved by user
102	директор ТОО «Урал Пром Энерго»	Орал Пром Энерго ЖШС директоры	директор ТОО «Урал Пром Энерго»	APPROVED	machine:google-translate	Approved by user
103	президент ОЮЛ «Ассоциация Застройщиков Казахстана»	«Қазақстанның құрылыс салушылар қауымдастығы» МКҚК президенті	президент ОЮЛ «Ассоциация Застройщиков Казахстана»	APPROVED	machine:google-translate	Approved by user
104	руководитель департамента экологии по Павлодарской области	Павлодар облысы бойынша табиғатты қорғау басқармасының басшысы	руководитель департамента экологии по Павлодарской области	APPROVED	machine:google-translate	Approved by user
105	Генеральный директор ТОО «Таразкий кожевенный завод»	Тараз былғары зауыты» ЖШС бас директоры	Генеральный директор ТОО «Таразкий кожевенный завод»	APPROVED	machine:google-translate	Approved by user
106	депутат Мажилиса Парламента РК VІІІ созыва	VIII сайланған Қазақстан Республикасы Парламенті Мәжілісінің депутаты	депутат Мажилиса Парламента РК VІІІ созыва	APPROVED	machine:google-translate	Approved by user
107	предприниматель	Кәсіпкер	предприниматель	APPROVED	machine:google-translate	Approved by user
108	депутат Мажилиса Парламента РК V, VI, VII, VIII созыва	V, VI, VII, VIII сайланған Қазақстан Республикасы Парламенті Мәжілісінің депутаты	депутат Мажилиса Парламента РК V, VI, VII, VIII созыва	APPROVED	machine:google-translate	Approved by user
109	директор департамента ПХВ «Информационно-вычислительный центр»	«Ақпараттық-есептеу орталығы» Дербес ақпарат және есептеу департаментінің директоры	директор департамента ПХВ «Информационно-вычислительный центр»	APPROVED	machine:google-translate	Approved by user
110	директор СКФ «Туркестан», директор ТОО «DG-art», советник Генерального директора ТОО «Mabex Trade LTD»	ЖТҚК директоры, «ДСҚДБ» департаментінің директоры. Mabex Trade LLP LTD бас директорының кеңесшісі»	директор СКФ «Туркестан», директор ТОО «DG-art», советник Генерального директора ТОО «Mabex Trade LTD»	APPROVED	machine:google-translate	Approved by user
111	заместитель председателя Алматинского областного филиала ДПК «Ак жол»	«Ақ жол» ҚДП Алматы облыстық филиалы төрағасының орынбасары	заместитель председателя Алматинского областного филиала ДПК «Ак жол»	APPROVED	machine:google-translate	Approved by user
112	председатель Туркестанского областного филилала ДПК «Ак жол», предприниматель	«Ақ жол» ҚДП Түркістан облыстық филиалының төрағасы, кәсіпкер	председатель Туркестанского областного филилала ДПК «Ак жол», предприниматель	APPROVED	machine:google-translate	Approved by user
113	первый заместитель Генерального директора ТОО «Dostyk Gaz Terminal»	Достық Газ Терминал» ЖШС бас директорының бірінші орынбасары	первый заместитель Генерального директора ТОО «Dostyk Gaz Terminal»	APPROVED	machine:google-translate	Approved by user
114	заместитель директора ТОО «Газета «Наш Костанай», редактор ИА «Тобол Инфо»	Наш Қостанай газеті» ЖШС директорының орынбасары, «Тобыл ақпарат» ақпараттық агенттігінің редакторы	заместитель директора ТОО «Газета «Наш Костанай», редактор ИА «Тобол Инфо»	APPROVED	machine:google-translate	Approved by user
115	председатель Астанинского филиала ДПК «Ак жол», председатель постоянной комиссии маслихата города Астана по вопросам социально-культурного развития	Қазақстан Республикасы «Ақ жол» партиясы Астана қалалық филиалының төрағасы, Қазақстан Республикасы Парламенті Мәжілісінің депутаты. қалалық мәслихатының әлеуметтік-мәдени даму мәселелері бойынша	председатель Астанинского филиала ДПК «Ак жол», председатель постоянной комиссии маслихата города Астана по вопросам социально-культурного развития	APPROVED	machine:google-translate	Approved by user
116	директор ТОО «Стройгрупп PVL»	Стройгрупп ПВЛ ЖШС директоры	директор ТОО «Стройгрупп PVL»	APPROVED	machine:google-translate	Approved by user
117	председатель постоянной комиссии по социальным вопросам Акмолинского областного маслихата	Ақмола облыстық мәслихатының әлеуметтік мәселелер жөніндегі тұрақты комиссиясының төрағасы	председатель постоянной комиссии по социальным вопросам Акмолинского областного маслихата	APPROVED	machine:google-translate	Approved by user
118	основатель и управляющий группы компаний «TASGROUP», Генеральный директор ТОО «МФО «TAS FINANSCE GROUP»	TASGROUP компаниялар тобының негізін қалаушы және менеджері, «TAS FINANSCE GROUP» МҚҰ ЖШС бас директоры	основатель и управляющий группы компаний «TASGROUP», Генеральный директор ТОО «МФО «TAS FINANSCE GROUP»	APPROVED	machine:google-translate	Approved by user
119	директор ресторана «Жібек жолы»	Жібек жолы мейрамханасының директоры	директор ресторана «Жібек жолы»	APPROVED	machine:google-translate	Approved by user
120	председатель постоянной комиссии по инвестициям и развитию городской комфортной среды маслихата города Шымкент	инвестициялар және қолайлы ортаны дамыту жөніндегі тұрақты комиссиясының төрағасы.	председатель постоянной комиссии по инвестициям и развитию городской комфортной среды маслихата города Шымкент	APPROVED	machine:google-translate	Approved by user
121	заместитель директора ТОО «Арал газ»	Арал Газ ЖШС директорының орынбасары	заместитель директора ТОО «Арал газ»	APPROVED	machine:google-translate	Approved by user
122	индивидуальный предприниматель, юрист международного фонда защиты свободы слова «Адил сөз»	Жеке кәсіпкер, «Әділ сөз» сөз бостандығын қорғау халықаралық қорының заңгері	индивидуальный предприниматель, юрист международного фонда защиты свободы слова «Адил сөз»	APPROVED	machine:google-translate	Approved by user
123	заместитель директора департамента стратегии ТОО «Корпорация «Казахмыс»	Қазақмыс корпорациясы ЖШС Стратегия департаменті директорының орынбасары	заместитель директора департамента стратегии ТОО «Корпорация «Казахмыс»	APPROVED	machine:google-translate	Approved by user
124	директор ИП «Мағжан», депутат областного маслихата по Западно-Казахстанской области	Мағжан И.П. директоры, облыстық мәслихаттың Батыс Қазақстан облысы бойынша депутаты	директор ИП «Мағжан», депутат областного маслихата по Западно-Казахстанской области	APPROVED	machine:google-translate	Approved by user
125	учитель истории Назарбаев интеллектуальная школа в городе Астана	Астана қаласындағы Назарбаев Зияткерлік мектебінің тарих пәнінің мұғалімі	учитель истории Назарбаев интеллектуальная школа в городе Астана	APPROVED	machine:google-translate	Approved by user
126	Генеральный директор ТОО ДП «Жаркент»	ДП «Жаркент» ЖШС бас директоры	Генеральный директор ТОО ДП «Жаркент»	APPROVED	machine:google-translate	Approved by user
127	депутат городского маслихата города Шымкент, директор кооператива «BIOMAK»	Шымкент қалалық мәслихатының депутаты, «БИОМАК» кооперативінің директоры	депутат городского маслихата города Шымкент, директор кооператива «BIOMAK»	APPROVED	machine:google-translate	Approved by user
128	председатель Алматинского областного филиала ДПК «Ак жол», заместитель директора ТОО «Специализированное предприятие по обработке камня»	"ҚДП Алматы облыстық филиалының төрағасы, «ҚДП» ЖШС директоры. тас"""	председатель Алматинского областного филиала ДПК «Ак жол», заместитель директора ТОО «Специализированное предприятие по обработке камня»	APPROVED	machine:google-translate	Approved by user
