party_id	order	name	google_search	wiki_pageviews	social_followers	media_mentions	total_index
adilet	59	Дулатбеков Нурлан Орынбасарович	4105	2232	3650	46	64.32
baitaq	14	Джаппарова Ардак Сарсенбековна	2920	0	6450	21	64.08
npk	13	Ахметов Алмат Сагындыкұлы	2920	0	6450	21	64.08
auyl	59	Саурыков Ерболат Байузакович	3645	1657	3650	46	63.86
respublica	20	Вайгорова Лаура Ринатовна	2320	0	6450	21	63.44
respublica	22	Дәулетбаева Венера Нартайқызы	2320	0	6450	21	63.44
respublica	28	Жайнарбай Жалынбек	2320	0	6450	21	63.44
respublica	32	Иманов Нуржан Ибрагимович	2320	0	6450	21	63.44
respublica	34	Қази Асылжан Ешжанұлы	2320	0	6450	21	63.44
respublica	35	Карин Сакен Абуханович	2320	0	6450	21	63.44
respublica	36	Карпикова Назым Ермековна	2320	0	6450	21	63.44
respublica	37	Касымбаев Мейрхат Мейрамханович	2320	0	6450	21	63.44
respublica	40	Кикимов Максат Сакенович	2320	0	6450	21	63.44
respublica	42	Кумысбеков Айбек Кумысбекович	2320	0	6450	21	63.44
respublica	44	Мадиева Дилафруз Давлятбековна	2320	0	6450	21	63.44
respublica	53	Наскенов Жабай Алемгерович	2320	0	6450	21	63.44
respublica	61	Солтиев Ернат Бакытжанович	2320	0	6450	21	63.44
respublica	64	Сулименко Ирина Юрьевна	2320	0	6450	21	63.44
respublica	73	Хасенов Махамбет Кабдулкаироич	2320	0	6450	21	63.44
ak_zhol	22	Исин Алибек Ерликович	2320	0	6450	21	63.44
ak_zhol	23	Кабдыгалиева Мейрамгуль Кенжелагиевна	2320	0	6450	21	63.44
ak_zhol	24	Кайркан Азат Серикжанулы	2320	0	6450	21	63.44
ak_zhol	25	Калинкин Анатолий Дмитриевич	2320	0	6450	21	63.44
ak_zhol	33	Логутов Константин Николаевич	2320	0	6450	21	63.44
ak_zhol	34	Малимов Бакдаулет Алиакбарович	2320	0	6450	21	63.44
ak_zhol	35	Мендыханов Алим Болатулы	2320	0	6450	21	63.44
ak_zhol	36	Мергалиев Аскар Серикович	2320	0	6450	21	63.44
ak_zhol	39	Найзакулов Бауыржан Онланбекулы	2320	0	6450	21	63.44
ak_zhol	44	Раманкулов Максат Базаралыевич	2320	0	6450	21	63.44
ak_zhol	50	Смагулов Рустем Сагадатович	2320	0	6450	21	63.44
ak_zhol	53	Тлеужанов Ержан Хамитович	2320	0	6450	21	63.44
ak_zhol	60	Шардинов Бахтияр Ахметжанович	2320	0	6450	21	63.44
auyl	22	Білеш Ерали Нұржанұлы	2320	0	6450	21	63.44
auyl	24	Двуреченский Андрей Валентинович	2320	0	6450	21	63.44
auyl	30	Жолдығали Алшын Әділханұлы	2320	0	6450	21	63.44
auyl	43	Қуатбаев Айбек Нурланұлы	2320	0	6450	21	63.44
auyl	53	Разинков Александр Александрович	2320	0	6450	21	63.44
auyl	54	Райханова Динара Куанышевна	2320	0	6450	21	63.44
baitaq	18	Кажиев Сериккан Ергалиевич	2320	0	6450	21	63.44
baitaq	22	Кенжебекова Роза Темуркуловна	2320	0	6450	21	63.44
baitaq	25	Кудеринов Мурат Тасбулатович	2320	0	6450	21	63.44
baitaq	34	Мұратұлы Руслан	2320	0	6450	21	63.44
baitaq	36	Ордабеков Алтай Еркебекович	2320	0	6450	21	63.44
baitaq	38	Сабурова Нургул Едигеевна	2320	0	6450	21	63.44
baitaq	41	Сексенова Айман Казиевна	2320	0	6450	21	63.44
baitaq	43	Скаков Ануарбек Адылбекович	2320	0	6450	21	63.44
baitaq	47	Ысматуллаев Руслан Серікұлы	2320	0	6450	21	63.44
npk	22	Газиз Джанибек Газизұлы	2320	0	6450	21	63.44
npk	36	Кабаков Тениз Сайлауович	2320	0	6450	21	63.44
npk	41	Каюмов Дамир Ирекович	2320	0	6450	21	63.44
npk	49	Маргулан Едиге Саулебекович	2320	0	6450	21	63.44
npk	56	Пан Владислав Виссарионович	2320	0	6450	21	63.44
npk	58	Рамазанов Дархан Булатович	2320	0	6450	21	63.44
npk	70	Харбедия Омари Омианович	2320	0	6450	21	63.44
adilet	30	Бақытбекұлы Нұркен	2320	0	6450	21	63.44
adilet	39	Бежецкий Сергей Владимирович	2320	0	6450	21	63.44
adilet	45	Битемиров Даурен Мухтарович	2320	0	6450	21	63.44
adilet	54	Дәдебай Айбек Арқабайұлы	3288	1210	3651	46	63.44
adilet	55	Джамалов Бауыржан Салдарович	2320	0	6450	21	63.44
adilet	60	Егамбердиева Динара Асиловна	2320	0	6450	21	63.44
adilet	62	Ералиев Бегалы Ералиевич	2320	0	6450	21	63.44
adilet	63	Ералиев Магжан Абзалович	2320	0	6450	21	63.44
adilet	71	Жукебаев Алмат Отаубаевич	2320	0	6450	21	63.44
adilet	76	Ильясов Еркебулан Сайдуллаевич	2320	0	6450	21	63.44
adilet	91	Керимбаева Наргиза Абайдуллаевна	2320	0	6450	21	63.44
adilet	97	Кузиева Замира Закиржановна	2320	0	6450	21	63.44
adilet	98	Куйкабаев Аскар Нуртуганович	2320	0	6450	21	63.44
adilet	104	Маралов Даурен Адилмырзаевич	2320	0	6450	21	63.44
adilet	110	Мухамбедиев Муратбек Кайрсапиевич	2320	0	6450	21	63.44
adilet	115	Наимбекова Айжан Избасхановна	2320	0	6450	21	63.44
adilet	118	Ниязалиев Нуржан Ауезович	2320	0	6450	21	63.44
adilet	120	Нурмухамедов Бурихан Жолбарисович	2320	0	6450	21	63.44
adilet	138	Сагинов Замир Садыкович	2320	0	6450	21	63.44
adilet	163	Тлемисов Турарбек Тлемисович	2320	0	6450	21	63.44
adilet	174	Хаирова Асель Ануаровна	2320	0	6450	21	63.44
adilet	34	Батырбеков Эрлан Гадлетович	3279	1199	3650	46	63.43
ak_zhol	1	Абильдин Ермек Толеуулы	3872	0	3807	33	63.3
adilet	117	Нахбаева Гүлісхан Сайфулинқызы	3109	987	3650	46	63.19
auyl	5	Абитаев Фарид Кумашевич	3833	0	3689	33	63.14
adilet	161	Теңізбаев Нұрбақыт Молдахметұлы	3068	935	3650	46	63.13
adilet	183	Шермағанбет Мейрамбек Зинабдинұлы	3058	923	3650	46	63.12
respublica	2	Абдихаликова Шолпан Аскаровна	3820	0	3650	33	63.08
respublica	5	Айткулов Бекжан Бахтыбекович	3820	0	3650	33	63.08
auyl	4	Абдыханов Улан Аманбекович	3820	0	3650	33	63.08
baitaq	2	Айбеков Елдос Айбекұлы	3820	0	3650	33	63.08
npk	3	Агибаев Алимбек Тулегенович	3820	0	3650	33	63.08
npk	4	Аккозиев Рахман Сейлханович	3820	0	3650	33	63.08
npk	5	Актаева Лязат Мейрашевна	3820	0	3650	33	63.08
adilet	3	Абилева Айымгул Акылбаевна	3820	0	3650	33	63.08
osdp	19	Камалова Нурайнаш Балтабаевна	2734	0	4894	21	62.72
adilet	147	Скакова Айжан Амангельдиевна	2732	516	3650	46	62.54
adilet	90	Кенжеханұлы Рауан	2720	501	3650	46	62.51
baitaq	10	Баяжума Асылбек	2932	0	3687	33	62.39
respublica	8	Амангелді Маханбет	2920	0	3650	33	62.33
baitaq	7	Байзаханов Аслан Адильханович	2920	0	3650	33	62.33
npk	8	Аппасова Найля Темиргалиевна	2920	0	3650	33	62.33
osdp	6	Аубакиров Нурлан Какимович	2920	0	3650	33	62.33
adilet	6	Адамбаева Алия Раймкуловна	2920	0	3650	33	62.33
adilet	169	Тулеушин Каныш Аманбаевич	2591	0	4463	21	62.18
baitaq	16	Иманалиев Аскар Муратович	2527	0	4271	21	61.92
ak_zhol	12	Егинбаев Ермек Молдакулович	2920	0	3650	21	61.66
auyl	15	Базилов Асхат Мауленович	2920	0	3650	21	61.66
npk	12	Аукенов Мирас Серикбекович	2920	0	3650	21	61.66
osdp	11	Балтабайқызы Нурия	2920	0	3650	21	61.66
osdp	12	Бугабаев Сапарбай Дуйсенович	2920	0	3650	21	61.66
osdp	13	Дауренбеков Ержан Каханович	2920	0	3650	21	61.66
osdp	14	Джаканов Дамир Сатпаевич	2920	0	3650	21	61.66
osdp	15	Джусупова Роза Кенженовна	2920	0	3650	21	61.66
auyl	18	Байманов Шахмардан Аскарович	2370	0	3802	21	61.25
auyl	8	Алдашбаев Сәкен Мінуарұлы	720	0	8950	15	61.06
npk	25	Досмухамбетова Балжан Ибатовна	2325	0	3666	21	61.04
npk	42	Куленова Лейла Искандеровна	2325	0	3665	21	61.04
respublica	18	Ботабекова Баян Жайдархановна	2320	0	3650	21	61.02
respublica	23	Домаев Сергей Александрович	2320	0	3650	21	61.02
respublica	25	Дуйсекенов Ержан Нусипбекович	2320	0	3650	21	61.02
respublica	30	Жунусов Олжас Файзуллаевич	2320	0	3650	21	61.02
respublica	33	Искаков Жанат Маратович	2320	0	3650	21	61.02
respublica	38	Келимбетова Айнур Шайзханкызы	2320	0	3650	21	61.02
respublica	45	Мақатов Дулат Нұрланұлы	2320	0	3650	21	61.02
respublica	56	Нұғман Ақмоншақ Нұртазақызы	2320	0	3650	21	61.02
respublica	58	Сайдуллаева Нилуфар Пахритдиновна	2320	0	3650	21	61.02
respublica	63	Сулейменов Ерлан Мельсович	2320	0	3650	21	61.02
respublica	71	Утебаев Галымжан Саламатович	2320	0	3650	21	61.02
respublica	72	Хайруллаев Нуржигит Нурболатович	2320	0	3650	21	61.02
respublica	74	Хорошаш Аскар Насибуллович	2320	0	3650	21	61.02
ak_zhol	16	Жалмуканова Лаззат Жумагуловна	2320	0	3650	21	61.02
ak_zhol	17	Жампиисов Рамазан Купесбаевич	2320	0	3650	21	61.02
ak_zhol	19	Жутаев Махаббат Сагынбаевич	2320	0	3650	21	61.02
ak_zhol	20	Ибатуллина Эльмира Павловна	2320	0	3650	21	61.02
ak_zhol	26	Кинсфатер Артур Сергеевич	2320	0	3650	21	61.02
ak_zhol	28	Кожахметов Асылхан Тулеббергенович	2320	0	3650	21	61.02
ak_zhol	37	Микрюков Виктор Николаевич	2320	0	3650	21	61.02
ak_zhol	46	Салыкбаев Абзал Мырзаханович	2320	0	3650	21	61.02
ak_zhol	49	Смагулов Аскар Сайлаубекович	2320	0	3650	21	61.02
ak_zhol	62	Шынасилова Мейраш	2320	0	3650	21	61.02
ak_zhol	63	Юсупов Ермеккалий Тулепкалиевич	2320	0	3650	21	61.02
auyl	16	Байжанов Нуртас Жарылгасинович	2320	0	3650	21	61.02
auyl	19	Бегалиева Захира Онгарбаевна	2320	0	3650	21	61.02
auyl	20	Бекиев Канат Ботаевич	2320	0	3650	21	61.02
auyl	21	Берікқожа Серікбол Қайратұлы	2320	0	3650	21	61.02
auyl	29	Жиенбаев Абзал Бахитович	2320	0	3650	21	61.02
auyl	34	Исмаилов Арман Оразалиевич	2320	0	3650	21	61.02
auyl	36	Калмуратов Торегельды Оразалиевич	2320	0	3650	21	61.02
auyl	37	Карабеков Гани Ажединович	2320	0	3650	21	61.02
auyl	38	Каримбаев Сейтжапар Ноянович	2320	0	3650	21	61.02
auyl	41	Конырбаев Ахметбек Байрозович	2320	0	3650	21	61.02
auyl	42	Курманбекова Слушаш Сатбековна	2320	0	3650	21	61.02
auyl	47	Мұстафа Садық Шоңмұрынұлы	2320	0	3650	21	61.02
auyl	50	Озгамбаев Куанышбай Омирзакович	2320	0	3650	21	61.02
auyl	57	Савин Тимур Владимирович	2320	0	3650	21	61.02
auyl	62	Сүйін Бейімбет Жұмабекұлы	2320	0	3650	21	61.02
auyl	67	Турмухамбетова Анар Акылбековна	2320	0	3650	21	61.02
baitaq	17	Иманбаев Айдос Бейбитович	2320	0	3650	21	61.02
baitaq	30	Мамытов Нургалый Киябаевич	2320	0	3650	21	61.02
npk	26	Дудабаев Еркебулан Бакытович	2320	0	3650	21	61.02
npk	28	Ерназаров Кайрат Шаршыбекович	2320	0	3650	21	61.02
npk	30	Жапарова Асель Абилхановна	2320	0	3650	21	61.02
npk	31	Ибраимов Олжас Бекдаулетович	2320	0	3650	21	61.02
npk	33	Инкарбеков Улан Аскербекович	2320	0	3650	21	61.02
npk	34	Исабаев Орынбасар Душанович	2320	0	3650	21	61.02
npk	35	Исмаилов Жумагали Казыбаевич	2320	0	3650	21	61.02
npk	37	Кабдешев Дамир Каирович	2320	0	3650	21	61.02
npk	39	Каймаков Аскар Абаевич	2320	0	3650	21	61.02
npk	40	Камбарова Зухра Медеуовна	2320	0	3650	21	61.02
npk	43	Курмангазин Бауржан Олжашевич	2320	0	3650	21	61.02
npk	45	Кусаинов Бейбут Булатович	2320	0	3650	21	61.02
npk	47	Лаврентьев Борис Георгиевич	2320	0	3650	21	61.02
npk	48	Максутов Калел Мухатаевич	2320	0	3650	21	61.02
npk	54	Нурсейтов Илияс Болатович	2320	0	3650	21	61.02
npk	62	Смагулов Болат Советович	2320	0	3650	21	61.02
npk	67	Тулеугалиев Рашид Бектурович	2320	0	3650	21	61.02
npk	69	Умаров Баймырза Абденбаевич	2320	0	3650	21	61.02
osdp	17	Жанғали Ілияс Әбілқазыұлы	2320	0	3650	21	61.02
osdp	18	Калгин Виктор Евгеньевич	2320	0	3650	21	61.02
osdp	23	Мукаманов Жасулан Мирзахметович	2320	0	3650	21	61.02
osdp	24	Мынбаев Сакен Саламатович	2320	0	3650	21	61.02
osdp	25	Насибулов Мақсұт Бейбитұлы	2320	0	3650	21	61.02
osdp	26	Нурлыбеков Нурым Комекович	2320	0	3650	21	61.02
osdp	27	Нұржау Қуандық Оңдасынұлы	2320	0	3650	21	61.02
osdp	31	Самбетбай Тазабек Дакенайұлы	2320	0	3650	21	61.02
osdp	32	Сарманов Рустем Сабитович	2320	0	3650	21	61.02
adilet	16	Атабаева Гульзира Нуржановна	2320	0	3650	21	61.02
adilet	18	Ахмедиев Дархан Мейрамулы	2320	0	3650	21	61.02
adilet	19	Ахметов Сабит Мейрамович	2320	0	3650	21	61.02
adilet	20	Ахметов Съезбек Рахышевич	2320	0	3650	21	61.02
adilet	22	Ашимова Аяужан Турсынбековна	2320	0	3650	21	61.02
adilet	25	Баденова Асель Жанбулатовна	2320	0	3650	21	61.02
adilet	28	Байсакова Зульфия Мухамедбековна	2320	0	3650	21	61.02
adilet	29	Байтурсынов Ғиззат Сейдахметұлы	2320	0	3650	21	61.02
adilet	35	Батырхан Жолдас Нұрланұлы	2320	0	3650	21	61.02
adilet	37	Баялиев Рустам Ахатханович	2320	0	3650	21	61.02
adilet	38	Баялышбаев Елдос Кайыркенұлы	2320	0	3650	21	61.02
adilet	42	Беркимбаев Берик Серикович	2320	0	3650	21	61.02
adilet	43	Беспалинов Берген Маратович	2320	0	3650	21	61.02
adilet	44	Бирмагамбетов Наурызбек Мерекешевич	2320	0	3650	21	61.02
adilet	47	Буршаков Сатыбалды Ересович	2320	0	3650	21	61.02
adilet	51	Данбаева Жулдыз Сейткамзиновна	2320	0	3650	21	61.02
adilet	52	Данилов Александр Сергеевич	2320	0	3650	21	61.02
adilet	56	Джаманкулова Карлыгаш Калибековна	2320	0	3650	21	61.02
adilet	57	Джансенгиров Арман Серикович	2320	0	3650	21	61.02
adilet	58	Ділдәбек Дидарбек Жұмағалиұлы	2320	0	3650	21	61.02
adilet	61	Елеусизова Бота Сериковна	2320	0	3650	21	61.02
adilet	68	Есимханов Сунгат Куатович	2320	0	3650	21	61.02
adilet	70	Жакселекова Ботагоз Шаймардановна	2320	0	3650	21	61.02
adilet	73	Жылкыбаева Ляззат Ауесхановна	2320	0	3650	21	61.02
adilet	78	Искандерова Ақерке Нұрғалиқызы	2320	0	3650	21	61.02
adilet	84	Карабасова Лаура Чапаевна	2320	0	3650	21	61.02
adilet	85	Кариева Шолпан Кайратовна	2320	0	3650	21	61.02
adilet	92	Кисикова Актоты Жанараловна	2320	0	3650	21	61.02
adilet	93	Кобеева Алтынай Орманкалиевна	2320	0	3650	21	61.02
adilet	102	Құрметұлы Абылай	2320	0	3650	21	61.02
adilet	111	Муханбетжанова Алия Бигазиевна	2320	0	3650	21	61.02
adilet	113	Мұсылманбек Ерқанат Серікұлы	2320	0	3650	21	61.02
adilet	114	Мырзағараев Мади Жомартұлы	2320	0	3650	21	61.02
adilet	119	Нургалиев Ербол Жолдаспекович	2320	0	3650	21	61.02
adilet	121	Осин Кирилл Владимирович	2320	0	3650	21	61.02
adilet	122	Оспанбеков Амирбек Канатбекович	2320	0	3650	21	61.02
adilet	124	Павленко Дмитрий Иванович	2320	0	3650	21	61.02
adilet	129	Пулатов Шерзод Аббозович	2320	0	3650	21	61.02
adilet	130	Разбекова Ляззат Муратовна	2320	0	3650	21	61.02
adilet	131	Рамазанова Наталья Сергеевна	2320	0	3650	21	61.02
adilet	135	Сабитова Айнур Алимхановна	2320	0	3650	21	61.02
adilet	142	Сапарова Эльмира Карифуллаевна	2320	0	3650	21	61.02
adilet	150	Солтабаева Эльзира Ауесхановна	2320	0	3650	21	61.02
adilet	151	Сулаймонова Русана Руслановна	2320	0	3650	21	61.02
adilet	154	Сүгірбай Аят Исатайұлы	2320	0	3650	21	61.02
adilet	156	Талғатбекова Нұргүл Ахатқызы	2320	0	3650	21	61.02
adilet	157	Тамабек Әбілхайыр Ғалымұлы	2320	0	3650	21	61.02
adilet	159	Темербаева Айжан Маратовна	2320	0	3650	21	61.02
adilet	167	Толыбаев Нурлан Алишерович	2320	0	3650	21	61.02
adilet	171	Урисбаев Аббат Жангирханович	2320	0	3650	21	61.02
adilet	173	Фазылжан Анар Мұратқызы	2320	0	3650	21	61.02
adilet	178	Чинкисбаева Лаззат Алтынбековна	2320	0	3650	21	61.02
adilet	186	Юлдашев Мамирхан Муталибович	2320	0	3650	21	61.02
respublica	21	Габбасов Еркин Тлеугабылович	606	608	6950	28	60.53
npk	6	Альмадиев Алибек Бекболатович	720	0	6950	15	59.99
ak_zhol	32	Линник Андрей Григорьевич	1284	1456	3250	28	59.86
respublica	11	Ахметов Еркебулан Картаевич	1520	0	6950	3	59.67
adilet	95	Кожаниязов Серик Салаватович	1385	582	3250	28	59.61
ak_zhol	48	Сергазинова Александра Кабдуллаевна	920	0	8950	3	59.35
adilet	31	Балтабаев Адиль Серикулы	920	0	8950	3	59.35
ak_zhol	4	Әуес Жоламан Бейсеханұлы	1620	0	3250	15	59.02
respublica	6	Алимбаева Адия Базиловна	1520	0	3250	15	58.84
respublica	7	Алпысов Мейир Серикович	1520	0	3250	15	58.84
ak_zhol	8	Бибаев Бактыбек Сальбекович	1520	0	3250	15	58.84
ak_zhol	9	Бисенов Бекнур Амантаевич	1520	0	3250	15	58.84
respublica	27	Жабасов Даурен Еркинович	920	0	6950	3	58.27
adilet	177	Хамза Еділ Талғатұлы	920	0	6950	3	58.27
npk	14	Балажанова Ардак Байдилхановна	720	0	6950	3	57.59
adilet	81	Кайдарова Диляра Радиковна	7051	7664	450	28	57.17
respublica	10	Ахметканов Арман Шамаевич	720	0	3250	15	56.76
npk	10	Аскарбекова Акбота Маратовна	720	0	3250	15	56.76
baitaq	11	Бекахметов Габит Кайратович	1520	0	3250	3	56.44
baitaq	15	Досанов Абай Сабитович	1520	0	3250	3	56.44
respublica	31	Идрисов Руслан Рашитович	920	0	3250	3	55.04
respublica	48	Мункебаев Даурен Биркутович	920	0	3250	3	55.04
respublica	52	Нагуманова Тахмина Утагалиевна	920	0	3250	3	55.04
respublica	59	Смаилов Нурсултан Сагындыкович	920	0	3250	3	55.04
respublica	62	Суентаев Дамир Серкбаевич	920	0	3250	3	55.04
ak_zhol	29	Козыбаков Улан Ермекович	920	0	3250	3	55.04
ak_zhol	30	Корганбаев Батыржан	920	0	3250	3	55.04
ak_zhol	47	Сартбаев Сакен Сатвалдиевич	920	0	3250	3	55.04
ak_zhol	55	Тулегенова Акманат Муратовна	920	0	3250	3	55.04
ak_zhol	57	Хамзин Ғани Булатұлы	920	0	3250	3	55.04
auyl	26	Джакупов Жаслан Кабибуллинович	920	0	3250	3	55.04
auyl	64	Токсеитова Рабига Альбековна	920	0	3250	3	55.04
baitaq	24	Краснокуцкий Андрей Анатольевич	920	0	3250	3	55.04
baitaq	32	Махамбетова Назген Мансұрханқызы	920	0	3250	3	55.04
baitaq	42	Серикбаев Айбол Усенович	920	0	3250	3	55.04
baitaq	45	Туртаев Болат Талгасулы	920	0	3250	3	55.04
npk	24	Дигай Дамир Анатольевич	920	0	3250	3	55.04
npk	51	Миронов Евгений Николаевич	920	0	3250	3	55.04
npk	57	Поднебесный Виктор Викторович	920	0	3250	3	55.04
adilet	17	Атамкулова Гульназ Турехановна	920	0	3250	3	55.04
adilet	66	Ерназар Шынасыл Жеңісұлы	920	0	3250	3	55.04
adilet	140	Сайланбаев Алибек Айдосулы	920	0	3250	3	55.04
adilet	143	Сартбаева Әсем Бахытқызы	920	0	3250	3	55.04
adilet	145	Себасов Марат Бакбергенович	920	0	3250	3	55.04
adilet	185	Щербаков Станислав Александрович	920	0	3250	3	55.04
respublica	13	Байконова Даурия Бейбитовна	720	0	3250	3	54.36
baitaq	12	Деркач Марина Владимировна	720	0	3250	3	54.36
