profile_name	profile_url_ru	biography_ru	collected_at
Баяжұма Асылбек	https://baytaq.kz/ru/candidates/bayazhuma-asylbek	Баяжума Асылбек — политолог, журналист, публицист и общественный деятель, эксперт в области государственной идеологии, международной политики, экологии и устойчивого развития. Имеет более 20 лет опыта государственной службы, пройдя профессиональный путь от районного специалиста до руководящих должностей в областных государственных органах и центральном аппарате министерства. В дальнейшем работал в средствах массовой информации и институтах гражданского общества, занимаясь формированием общественного мнения, анализом государственной политики и продвижением национальных интересов. Является автором многочисленных аналитических публикаций и исследований по вопросам государственного управления, экологии, национальной безопасности, регионального развития и международной политики. В настоящее время возглавляет Акмолинский областной филиал Казахстанской партии зелёных «Байтақ». Под его руководством реализуются общественные проекты по развитию экологической культуры, повышению гражданской активности молодёжи и реализации общенациональной инициативы «Таза Қазақстан». Также занимается научно-исследовательской деятельностью, является автором книг по общественно-политическому развитию Казахстана и известен как поэт.	2026-08-16T22:57:48Z
Деркач Марина Владимировна	https://baytaq.kz/ru/candidates/derkach-marina-vladimirovna	Деркач Марина Владимировна — эксперт в сфере креативного образования, общественный деятель, председатель Ассоциации дополнительного образования при НПП «Атамекен». Родилась в 1979 году в Актобе. Мать четверых сыновей. Основатель авторской Школы развития творческого мышления ArtLab, ставшей первой в Казахстане организацией дополнительного образования, прошедшей международную институциональную аккредитацию. По итогам реализации авторских образовательных программ зафиксировано значительное улучшение показателей здоровья учащихся. Принимала участие в работе экспертной группы при Сенате Парламента Республики Казахстан по вопросам развития креативного образования и формирования законодательной базы креативных индустрий. Является членом правления Евразийской ассоциации креативных индустрий. За вклад в развитие образования и реализацию социальных проектов награждена государственной медалью «Ерен еңбегі үшін», а также была номинирована на первую президентскую премию «АруАна» в категории «Наука и инновации». Свою общественную деятельность связывает с развитием креативного образования, поддержкой детей и молодежи, формированием безопасной образовательной среды и повышением качества человеческого капитала Казахстана.	2026-08-16T22:57:49Z
Досанов Абай Сәбитұлы	https://baytaq.kz/ru/candidates/dosanov-abay-sabitovich	Досанов Абай Сабитович — управленец с многолетним опытом работы в сфере транспорта, экологии и государственного управления. Имеет три высших образования по специальностям «География и туризм», «Правоведение» и «Организация перевозок, движения и эксплуатация транспорта». Общий трудовой стаж превышает 30 лет. Работал в государственных органах, системе «Кедентранссервис», АО «Вокзал-Сервис» и АО «НК «Қазақстан темір жолы». В настоящее время занимает должность заместителя директора филиала АО «НК «ҚТЖ» – «Дирекция магистральной сети» по вокзальному хозяйству, содержанию зданий и инженерных систем. В своей профессиональной и общественной деятельности уделяет особое внимание развитию транспортной инфраструктуры, обеспечению экологической безопасности, охране окружающей среды, поддержке человека труда и устойчивому развитию регионов Казахстана.	2026-08-16T22:57:50Z
Жаппарова Ардак Сарсенбекқызы	https://baytaq.kz/ru/candidates/dzhapparova-ardak-sarsenbekovna	Джаппарова Ардак Сарсенбековна — юрист, магистр права. Высшее юридическое образование получила в Таразском государственном университете имени М.Х. Дулати, затем с отличием окончила магистратуру Астанинского университета по специальности «Право». В настоящее время обучается по программе MBA в университете AlmaU. Трудовую деятельность начала в 2000 году помощником председателя Нотариальной палаты города Астаны. Работала юрисконсультом, частным нотариусом, а с 2007 года является членом Нотариальной палаты города Астаны. С 2025 года занимает должность директора ТОО «СПМК-5». Имеет более 25 лет профессионального опыта в сфере нотариата, защиты прав граждан и юридических лиц, обеспечения законности и правовой безопасности гражданского оборота. Активно поддерживает общественные инициативы, направленные на развитие правовой культуры и укрепление принципов верховенства закона. В своей профессиональной деятельности руководствуется принципами профессионализма, честности, справедливости и ответственности, считая своими главными приоритетами укрепление правового государства, защиту прав и законных интересов граждан и содействие устойчивому развитию Республики Казахстан.	2026-08-16T22:57:51Z
Жакишев Алмаз Әжібекұлы	https://baytaq.kz/ru/candidates/dzhakishev-almaz-azhibekovich	Джакишев Алмаз Ажибекович — магистр технической физики и экономики, общественный деятель. С 2023 года занимает должность исполнительного секретаря Восточно-Казахстанского областного филиала Казахстанской партии зелёных «Байтақ». Окончил Восточно-Казахстанский технический университет имени Д. Серикбаева, где получил степени бакалавра и магистра по специальности «Техническая физика», а также Восточно-Казахстанский университет имени С. Аманжолова, получив степень магистра экономики. Трудовую деятельность начал инженером в Восточно-Казахстанском государственном техническом университете. В разные годы возглавлял молодежное крыло «Jas Otan» в Усть-Каменогорске, преподавал робототехнику, работал старшим преподавателем по информационно-коммуникационным технологиям, а также руководителем сектора по работе с учебными заведениями и молодежными организациями Молодежного ресурсного центра города Усть-Каменогорска. Активно занимается общественной и экологической деятельностью. За волонтерскую работу в период пандемии COVID-19 награжден медалью Президента Республики Казахстан «Халық алғысы». Также отмечен благодарственными письмами Президента Республики Казахстан, Министерства экологии и природных ресурсов, партии «Байтақ» и других государственных органов.	2026-08-16T22:57:52Z
Иманбаев Айдос Бейбітұлы	https://baytaq.kz/ru/candidates/imanbaev-aydos-beybitovich	Иманбаев Айдос Бейбитулы — юрист, эксперт в сфере исполнительного производства с более чем 20-летним профессиональным опытом. Окончил Карагандинский государственный университет имени Е.А. Букетова по специальности «Юриспруденция». Трудовую деятельность начал судебным исполнителем. В дальнейшем работал в центральном аппарате Комитета по судебному администрированию при Верховном Суде Республики Казахстан, пройдя путь от ведущего специалиста до начальника управления, а также занимал должность в Министерстве юстиции Республики Казахстан. В 2022–2026 годах возглавлял Республиканскую палату частных судебных исполнителей. За время работы внес значительный вклад в развитие системы исполнительного производства, инициировал внедрение цифровых решений, направленных на повышение прозрачности и эффективности исполнения судебных актов, а также совершенствование деятельности института частных судебных исполнителей. Являлся членом Общественного совета при Министерстве юстиции и рабочих групп Парламента по разработке профильных законопроектов. Является специальным советником Президента Международного союза судебных исполнителей по странам СНГ и Азии, автором публикаций в казахстанских и зарубежных изданиях, участником международных профессиональных конференций.	2026-08-16T22:57:53Z
Иманалиев Аскар Маратович	https://baytaq.kz/ru/candidates/imanaliev-askar-maratovich		2026-08-16T22:57:54Z
Қажиев Серікқан Ерғалиұлы	https://baytaq.kz/ru/candidates/kazhiev-serikkan-ergalievich	Кажиев Сериккан Ергалиевич родился 19 марта 1967 года в селе Саржал Абайского района области Абай. Окончил Семипалатинский строительный техникум, а затем Центрально-Азиатский университет по специальности «Юриспруденция». Трудовую деятельность начал в строительной сфере. В 1989–2011 годах проходил службу в органах внутренних дел Республики Казахстан, где занимал различные руководящие должности в системе дорожной полиции, завершив службу в должности командира отдельного батальона дорожной полиции №2 ДВД Восточно-Казахстанской области. После выхода на пенсию работал в сфере безопасности и строительства. В 2015–2023 годах возглавлял ТОО «ПОСЖБ». В настоящее время является директором ТОО «СемСтрой-Лидер». Имеет многолетний опыт работы в сфере правоохранительной деятельности, безопасности и строительства. Женат, воспитывает пятерых детей.	2026-08-16T22:57:55Z
Каметов Бақыт Хабидоллаұлы	https://baytaq.kz/ru/candidates/kametov-bakyt-habidullaevich	Каметов Бакыт Хабидуллаевич родился 7 февраля 1967 года в городе Гурьеве (ныне Атырау). Имеет высшее образование. Окончил Атырауский педагогический университет по специальности «Учитель физики и математики», Карагандинскую высшую школу полиции по специальности «Юриспруденция», а также Университет имени Ш. Есенова по специальности «Экономика». Трудовую деятельность начал в органах внутренних дел. В 1990–2006 годах работал участковым инспектором, сотрудником уголовного розыска, заместителем начальника подразделений органов внутренних дел, начальником следственного изолятора и исправительного учреждения, заместителем начальника районного отдела полиции. В последующие годы возглавлял Жайык-Каспийскую межобластную рыбохозяйственную инспекцию, учреждение «Еңбек-Атырау», занимался предпринимательской деятельностью, руководил службой безопасности Атырауского нефтеперерабатывающего завода и крестьянским хозяйством «Тама-Кен». В настоящее время является депутатом Атырауского областного маслихата, членом Казахстанской партии зелёных «Байтақ». Женат, воспитывает четверых детей.	2026-08-16T22:57:56Z
Кенжебекова Роза Темірқұлқызы	https://baytaq.kz/ru/candidates/kenzhebekova-roza-temirkulkyzy	Кенжебекова Роза Темиркуловна — общественный деятель, опытный специалист железнодорожной отрасли, председатель Женского совета Казахстанской партии зелёных «БАЙТАҚ». Имеет высшее экономическое образование. Более 22 лет работала в железнодорожной отрасли Казахстана, пройдя путь от специалиста до руководителя. Внесла значительный вклад в развитие отрасли, совершенствование производственных процессов и укрепление трудовых коллективов. В настоящее время возглавляет Женский совет партии «БАЙТАҚ», реализует проекты по развитию женского лидерства, экологического просвещения, поддержке семьи и молодёжи, а также продвижению общенациональной инициативы «Таза Қазақстан». В своей общественной деятельности последовательно выступает за защиту окружающей среды, социальную справедливость, укрепление института семьи и расширение участия женщин в общественной и политической жизни. Семейное положение: воспитывает сына.	2026-08-16T22:57:57Z
Керей Бекберген Дүйсенбайұлы	https://baytaq.kz/ru/candidates/kerey-bekbergen-duysenbayuly	Керей Бекберген Дуйсенбаевич родился 1 ноября 1971 года в селе Чалдай Щербактинского района Павлодарской области. Окончил Акмолинский сельскохозяйственный институт по специальности «Инженер-землеустроитель». Общий трудовой стаж — 34 года, стаж государственной службы — 31 год. Женат, имеет двоих детей. Профессиональную деятельность начал в сфере земельных отношений. Работал в земельной инспекции и природоохранных органах Павлодарской области. В дальнейшем занимал руководящие должности в Министерстве охраны окружающей среды, Министерстве энергетики, Министерстве экологии, геологии и природных ресурсов Республики Казахстан, курируя вопросы экологической политики, стратегического планирования, зеленой экономики, международного сотрудничества и привлечения инвестиций. В 2022 году работал главным менеджером Департамента инвестиций АО «НГК «Казгеология». С 2023 года занимает руководящие должности в Казахстанской партии зеленых «Байтақ», возглавлял Центральный аппарат и исполнял обязанности исполнительного секретаря партии. В настоящее время — секретарь Казахстанской партии зеленых «Байтақ» по вопросам зеленой экономики. Занимается развитием экологической политики, продвижением принципов зеленой экономики и устойчивого развития. Награжден нагрудным знаком «Экология саласының үздігі», юбилейной медалью «20 лет независимости Республики Казахстан», медалью «Ерен еңбегі үшін» и Почетной грамотой Министерства экологии Республики Казахстан.	2026-08-16T22:57:58Z
Кенжалиев Эльнар Бақдәулетұлы	https://baytaq.kz/ru/candidates/kenzhaliev-el-nar-bagdauletovich	Кенжалиев Эльнар — инженер-металлург, кандидат технических наук, специалист с более чем 20-летним опытом работы в горно-металлургической и промышленной отраслях, свыше 10 лет занимал руководящие должности. С отличием окончил Казахский национальный технический университет имени К. Сатпаева, затем защитил кандидатскую диссертацию в Институте металлургии и обогащения. Проходил научную стажировку в Израильском технологическом институте (Технион). Автор 32 научных публикаций и ряда патентов Республики Казахстан. В разные годы работал в Институте металлургии и обогащения, корпорации «Казахмыс», Национальной горнорудной компании «Тау-Кен Самрук» и научно-технологическом холдинге «Парасат». Руководил реализацией крупных производственных и инвестиционных проектов в сфере металлургии, горнодобывающей промышленности и инновационных технологий. В настоящее время отвечает за стратегическое развитие и привлечение инвестиций в компании KazNewTech. Последовательно выступает за внедрение экологически безопасных технологий, развитие глубокой переработки сырья, сокращение промышленных отходов, восстановление нарушенных земель и рациональное использование природных ресурсов, считая, что промышленное развитие должно сочетаться с ответственным отношением к окружающей среде.	2026-08-16T22:57:59Z
Күнғожин Алмаз Мұхамбетұлы	https://baytaq.kz/ru/candidates/kungozhin-almaz-muhambetovich	Кунгожин Алмаз Мухамбетович — педагог, математик, доктор философии (PhD), руководитель в сфере образования и эксперт в области STEM-образования и олимпиадного движения. Окончил бакалавриат, магистратуру и докторантуру КазНУ имени аль-Фараби, выпускник международной программы «Болашак». Профессиональный путь прошёл от учителя математики и тренера олимпиадного резерва до руководителя ведущих образовательных учреждений. Возглавлял Республиканскую физико-математическую школу в Алматы, в настоящее время занимает должность первого заместителя председателя правления Республиканской физико-математической школы, курируя академическое направление. Неоднократно руководил национальной сборной Казахстана на Международной математической олимпиаде (IMO), Балканской математической олимпиаде (BMO) и Европейской математической олимпиаде для девушек (EGMO). Автор научных публикаций, авторского свидетельства и соавтор сборников олимпиадных задач. В настоящее время является кандидатом в депутаты Национального курултая от Казахстанской партии зелёных «Байтақ». В своей общественной деятельности выступает за развитие качественного образования, экологической культуры и принципов устойчивого развития, рассматривая интеллектуальный потенциал и сохранение природы как основу будущего Казахстана.	2026-08-16T22:58:00Z
Краснокуцкий Андрей Анатольевич	https://baytaq.kz/ru/candidates/krasnokutskiy-andrey-anatol-evich	Краснокуцкий Андрей Анатольевич – дата рождения 26 декабря 1986 года в городе Алматы. Здесь прошло моё детство, здесь я учился, начал работать и сделал первые шаги в предпринимательстве. Работать начал ещё школьном возрасте с 12 лет, помогая продавать в магазине “Серебряный диск” и именно тогда впервые понял, насколько важно уметь работать, держать своё слово и уважать людей. Начинали с небольшого бизнеса и заёмных денег в 21 год, мы с друзьями открыли первый магазин по продаже компьютерных игр и аксессуаров были взлеты и падения. В какой-то момент из-за неудачного партнёрства нам пришлось практически начать всё сначала. Но именно этот опыт научил меня главному: неудача - это не конец. Если не опускать руки, анализировать свои ошибки и продолжать двигаться вперёд, любую трудность можно превратить в новую возможность. После того как остался один единственный магазин, начался новый этап. Мы стали участвовать в государственных закупках, реализовывать крупные социальные проекты, поставлять оборудование и постепенно заслужили доверие заказчиков. Так появилась компания ATON+. Сегодня ATON+ - это Казахстанское производство. Мы выпускаем компьютерные корпуса, детские игровые площадки и различные элементы благоустройства Для меня важно видеть конкретный результат своей работы. Когда продукция, созданная нашей командой, появляется в школах, дворах и общественных пространствах по всему Казахстану, я понимаю, что наша работа действительно приносит пользу народу нашей страны. Я всегда верил в технологии и возможности, которые они дают человеку. Если что-то, не знаешь - этому можно научиться. Сегодня мир меняется очень быстро. Искусственный интеллект, цифровые технологии и современные производства открывают перед Казахстаном огромные возможности. Создавать возможность для молодых людей. Создать производство. Создать технологии. Создать рабочие места.	2026-08-16T22:58:01Z
Құдеринов Мұрат Тасболатұлы	https://baytaq.kz/ru/candidates/kuderinov-murat-tasbulatovich	Мурат Кудеринов родился 21 сентября 1977 года в Карагандинской области. Имеет высшее юридическое образование. В 1999 году окончил Карагандинский государственный университет имени Е.А. Букетова по специальности «Правоведение». Трудовую деятельность начал в органах прокуратуры, где с 2000 по 2010 годы проходил службу в прокуратуре Карагандинской области. В последующие годы работал юристом в сфере недропользования, руководил филиалом товарной биржи по Карагандинской области, возглавлял юридический отдел АО «Станция Экибастузская ГРЭС-2». С 2015 года является директором ТОО «Наше право.kz», а с 2019 года — председателем Правления Палаты казахстанских юридических консультантов. В 2015 году основал общественное объединение «Туған жер», занимающееся вопросами охраны окружающей среды. Является инициатором десятков судебных процессов по прекращению деятельности предприятий, нарушавших экологическое законодательство Республики Казахстан. С 2022 года состоит в Казахстанской партии зеленых «Байтақ», является исполнительным секретарем Карагандинского областного филиала, членом Политбюро и Политического совета партии. В 2023–2025 годах был депутатом Карагандинского городского маслихата VIII созыва. Женат, воспитывает двоих детей.	2026-08-16T22:58:02Z
Қыдырбаев Ерлан Жайлаубайұлы	https://baytaq.kz/ru/candidates/kydyrbaev-erlan-zhaylaubaevich	Кыдырбаев Ерлан Жайлаубаевич родился 4 августа 1976 года в городе Алматы. В 1998 году окончил Казахский государственный аграрный университет по специальности «Ветеринарная медицина». Позже получил образование в университете «Туран» по специальностям «Экономика и менеджмент» (2004) и «Юриспруденция» (2013). В настоящее время является аспирантом кафедры экологии Института биологии Национальной академии наук Кыргызской Республики, где занимается научным исследованием в области биологических методов борьбы с опасными вредителями лесных насаждений. Трудовую деятельность начал в 1998 году. Работал менеджером по продажам, коммерческим директором и руководителем ряда коммерческих организаций, в том числе ТОО «Компания КЕНТ», ТОО «РПА Астана Медиа Сервис», ТОО «TAYER» и ЖСК «ДАР». В настоящее время является специалистом по коммерциализации в ТОО «Олтек Трейд» и ТОО «Азия-Auto Казахстан». С 2026 года — собственник сетевого издания ALEM. В 2021–2023 годах входил в состав Национального научного совета МОН РК по приоритету «Устойчивое развитие агропромышленного комплекса и безопасность сельскохозяйственной продукции». С 2021 года является членом Совета по региональному развитию города Астаны. С 2022 года — член Казахстанской партии зелёных «Байтақ», секретарь Центрального аппарата партии. Женат, воспитывает троих детей. Является инвалидом I группы.	2026-08-16T22:58:03Z
Қадырбаева Нұргүл Жұмахметқызы	https://baytaq.kz/ru/candidates/kadyrbaeva-nurgul-zhumahmetkyzy	Кадырбаева Нургуль Жумахметовна — педагог, учитель начальных классов, многодетная мать и общественный деятель. Окончила университет «Отырар» по специальности «Учитель начальных классов». С 2004 по 2014 год работала учителем начальных классов в средней школе имени Турара Рыскулова. Наряду с педагогической деятельностью активно занимается вопросами воспитания детей, укрепления семейных ценностей и участвует в общественных инициативах. В 2026 году прошла курс повышения квалификации в Казахском агротехническом исследовательском университете имени Сакена Сейфуллина по вопросам экологии, охраны окружающей среды и экологической безопасности. В настоящее время поддерживает общественные инициативы Казахстанской партии зелёных «Байтақ», уделяя особое внимание развитию экологической культуры, укреплению института семьи и воспитанию подрастающего поколения. Лауреат номинаций «Мейірімді ана», «Мерейлі отбасы» и «Өнегелі отбасы».	2026-08-16T22:58:04Z
